id,nama,merk,kategori,type,harga,harga_diskon,deskripsi,jumlah_stok,jumlah_pieces_packing,satuan_packing,angka_produk_favorit,url_foto
PRD-001,Baut Hexagonal Baja Grade 8.8 M10 x 50mm,BautTech,Fastener & Baut,M10-50-HEX,125000,98000,"Baut hexagonal baja berkualitas tinggi grade 8.8 dengan lapisan anti karat galvanis. Cocok untuk konstruksi berat, mesin manufaktur, dan otomotif.",150,100,Kotak,49,https://images.unsplash.com/photo-1581092160607-ee22621dd758?w=800&auto=format&fit=crop&q=80
PRD-002,Kawat Las Inverter E6013 2.6mm Super Steel,Kobe Steel,Peralatan Las,RB-26-20KG,345000,310000,"Kawat las elektroda serbaguna dengan penetrasi halus, asap minim, dan terak mudah lepas. Ideal untuk baja karbon rendah dan fabrikasi umum.",85,20,Dus (4x5kg),47,https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=800&auto=format&fit=crop&q=80
PRD-003,Mata Gerinda Potong Besi 4 Inch Ultra Slim 1.2mm,Rhodius Pro,Aksesoris Gerinda,XT38-105-1.2,280000,235000,"Batu potong tipis performa tinggi, hasil potongan presisi tanpa serpihan kasar dan panas berlebih. Awet dan tahan pecah.",240,50,Pack,45,https://images.unsplash.com/photo-1572981779307-38b8cabb2407?w=800&auto=format&fit=crop&q=80
PRD-004,Kunci Pas Ring Set 8-24mm Chrome Vanadium 14 Pcs,Tekiro Pro,Perkakas Tangan,WR-SE014,420000,,"Set kunci pas ring kombinasi lengkap terbuat dari chrome vanadium tahan korosi dengan finishing satin mirror anti slip.",40,1,Set Kantong,42,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=800&auto=format&fit=crop&q=80
PRD-005,Pipa Seamless Carbon Steel Sch 40 Diameter 2 Inch,Sumitomo,Pipa & Fitting,SCH40-2IN-6M,890000,810000,"Pipa seamless standar ASTM A106 Grade B panjang 6 meter. Mampu menahan tekanan tinggi pipa uap, minyak, dan fluida industri.",0,1,Batang 6M,38,https://images.unsplash.com/photo-1563986768609-322da13575f3?w=800&auto=format&fit=crop&q=80
PRD-006,Sarung Tangan Safety PU Coated Grip ESD Hitam,SafeGuard,Safety & APD,PU-BLK-L,165000,140000,"Sarung tangan kerja elastis dengan telapak berlapis polyurethane untuk cengkeraman maksimal benda licin dan presisi perakitan.",500,12,Lusin,40,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=800&auto=format&fit=crop&q=80
PRD-007,Bearing Deep Groove Ball 6205-2RS C3 High Speed,SKF Original,Bearing & Seal,6205-2RS-C3,95000,82000,"Laher putaran tinggi dengan tutup karet ganda pelindung debu dan gemuk sintetis tahan panas untuk dinamo dan gearbox.",310,10,Dus,50,https://images.unsplash.com/photo-1618042164219-62c820f10723?w=800&auto=format&fit=crop&q=80
PRD-008,Seal Tape PTFE Tebal 0.1mm x 19mm x 15 Meter,Onda Star,Pipa & Fitting,ST-19-15M,85000,,"Isolasi kran pipa air dan gas anti bocor, elastis dan tahan terhadap tekanan suhu tinggi.",180,20,Kotak,35,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=800&auto=format&fit=crop&q=80
PRD-009,Cat Semprot Anti Karat Zinc Galvanize Spray 400ml,RustShield,Kimia Industri & Cat,GALV-400ML,110000,92000,"Lapisan perlindungan katodik dingin mengandung 95% seng murni untuk perbaikan sambungan las dan struktur baja terbuka.",90,12,Karton,36,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=800&auto=format&fit=crop&q=80
PRD-010,Lem Epoxy Adhesive 2 Komponen Super Kuat 5 Menit,Dextone Pro,Kimia Industri & Cat,EPX-5MIN-48G,215000,185000,"Perekat serbaguna untuk metal, keramik, kayu, dan plastik keras. Tahan getaran, benturan, dan air.",120,12,Display Box,33,https://images.unsplash.com/photo-1584824486509-112e4181ff6b?w=800&auto=format&fit=crop&q=80
PRD-011,Helm Proyek Keselamatan Putih V-Gard Suspension Fastrac,MSA Safety,Safety & APD,VGARD-WHT-SL,195000,,"Helm standar ANSI Z89.1 Type 1 Class E, material polietilen densitas tinggi dengan sistem pengencang putar instan.",65,1,Unit,44,https://images.unsplash.com/photo-1508873696983-2df5293cb32b?w=800&auto=format&fit=crop&q=80
PRD-012,Kabel Tali Seling Baja Galvanis 8mm 6x19 IWRC 100M,PowerRope,Fastener & Baut,WR-8MM-100M,1850000,1690000,"Tali kawat baja galvanis dengan inti baja independen (IWRC) untuk hoist, crane, sling angkat, dan rigging.",0,1,Rol 100 Meter,30,https://images.unsplash.com/photo-1541888946425-d0fbb18086f6?w=800&auto=format&fit=crop&q=80
